Topic,Question,Correct_answer,Incorrect_answer
frontend,"Which of the following would be a good, reusable class name for a warning alert in your CSS?",.warning-alert,".red-alert, .a, .red alert"
frontend,How does specificity work in CSS?,It adds points based on selectors you have used and decides the order of precedence when more than one selector is applied to an element,"It adds all selectors and divides by 100, Specificity doesn't exist in CSS, It allows you to use JavaScript to target and change specific CSS attributes"
frontend,What is the lighthouse audit tool used for ?,"To audit an webpage and have data that will enable you to make improvements by highlighting accessibility, performance, etc.","Powerful flashing lamp that is built to warn mariners of dangerous shallows and perilous rocky coasts,  Lighting up areas of your code where you can improve your syntax"
frontend,What does BEM stand for in CSS?,Block Element Modifier,"Block Event Module, Body Exercise Mass"
frontend,How do you declare a CSS variable for colour blue?,--blue: #1e90ff;,"blue: #1e90ff; , -blue: #1e90ff; , blue-:#1e90ff;"
frontend,How would you create a CSS variable with global scope ?,Declare the CSS variables within the :root selector,"Declare the CSS variable within a class, Use any CSS selector"
frontend,When would you use flexbox ?,To align content or items along 1 dimension i.e horizontally or vertically,"Align content both horizontally and vertically, To be cool and appreciated in the dev community"
frontend,What is a callback function?,"A function passed as an argument to another function, so that it can be called later","Something never to be trifled with, A way of keeping track of variables, A function you define with a fat arrow"
frontend,What type of scoping describes const and let?,Block scope,"Function scope, Globally scope, Peri scope"
frontend,What type of scoping describes var?,Function scope,"Block scope, Globally scope, Peri scope"
frontend,When is it useful to use an array to represent something?,When you have a bunch of properties,"When you can't think of anything else, When you have a large piece of text, When you have a collection of things, and the order matters"
frontend,What does the fetch function return?,A promise,"A ball you threw, An object, An array"
frontend,What does querySelector use to select things from the DOM?,A valid css selector,"A set of keys, An object, Only IDs"
frontend,"We have selected a button, and pointed to it with a variable called button. How do we add a listener so that when the button is clicked, we run the doSomething function?","button.addEventListener(""onClick"", doSomething());","button.addEventListener(""click"", doSomething());, button.addEventListener(""click"", doSomething);, button.addEventListener(""onClick"", doSomething);"
frontend,How would you describe the relationship between async/await?,"To use await, you need to be inside an async function","When using async, you can add await to make sure it happens, When using await, you can concatenate async to make sure it happens, Inside an await function, you always use async"
frontend,When thinking about semantic HTML:,"Look up if there's a tag which serves the purpose you are looking for, and if there is use that","Memorise all HTML tags and use them all, Use divs for everything, Don't use tags"
frontend,What is the difference between let and const?,"You cannot reassign a const, you can reassign a let","Const is the name of Chris' pet goldfish,You cannot assign a let, but you can assign a const, You cannot reassign either, but you can change a let to a const"
backend,What is REST?,A Javascript framework for writing APIs,"A programming language,
An architectural standard informing how APIs are structured,
What you should do at least for 5 minutes every hour,
An architectural standard informing how APIs are structured,"
backend,Which of these is NOT an HTTP method?,SAVE,"PUT,
GET,
DELETE,"
backend,What's the difference between a PUT and a PATCH request,PUT should replace the whole item; PATCH should replace a bit of it.,"PUT should put the item in the database; PATCH should patch it in.
PATCH should remove the item; PUT should put a new one in.
PATCH should replace the whole item; PUT should replace a bit of it."
